Capparis amplissima	Lam.	burro blanco
Capparis baducca	L.	caper
Capparis cynophallophora	L.	Jamaican caper
Capparis flexuosa	(L.) L.	falseteeth
Capparis hastata	Jacq.	broadleaf caper
Capparis indica	(L.) Druce	linguam
Capraria biflora	L.	goatweed
Capsicum annuum	L.	cayenne pepper
Capsicum annuum var. annuum	L.	cayenne pepper
Capsicum annuum var. glabriusculum	L.	cayenne pepper
Cardamine flexuosa	With.	woodland bittercress
Cardiospermum corindum	L.	faux persil
Cardiospermum halicacabum	L.	balloon vine
Cardiospermum microcarpum	Kunth	heartseed
Carex longii	Mack.	Long's sedge
Carex polystachya	Sw. ex Wahlenb.	Caribbean sedge
Carica papaya	L.	papaya
Carissa macrocarpa	(Eckl.) A. DC.	amatungulu
Carludovica palmata	Ruiz & Pav.	Panama hat plant
Casearia aculeata	Jacq.	rabo de ranton
Casearia arborea	(Rich.) Urb.	gia verde
Casearia decandra	Jacq.	wild honeytree
Casearia guianensis	(Aubl.) Urb.	Guyanese wild coffee
Casearia sylvestris	Sw.	crackopen
Cassia fistula	L.	golden shower
Cassia grandis	L. f.	pink shower
Cassia javanica	L.	apple blossom
Cassia javanica var. indochinensis	L.	apple blossom
Cassine xylocarpa	Vent.	marbletree
