Abelmoschus esculentus	okra
Caesalpinia divergens	small yellow nicker
Caesalpinia gilliesii	bird-of-paradise shrub
Caesalpinia major	Hawai'i pearls
Caesalpinia monensis	black nicker
Caesalpinia portoricensis	brown nicker
Caesalpinia pulcherrima	pride-of-Barbados
Cajanus cajan	pigeonpea
Cakile lanceolata	coastal searocket
Caladium bicolor	heart of Jesus
Calathea allouia	llerenes
Calathea crotalifera	rattlesnake plant
Calathea lutea	pampano
Calathea zebrina	zebraplant
Calliandra haematomma	red powderpuff
Calliandra locoensis	Rio Loc stickpea
Calliandra surinamensis	Surinamese stickpea
Callicarpa ampla	caparosa
Callisia fragrans	basketplant
Callisia monandra	cojite morado
Callisia repens	creeping inchplant
Callistemon citrinus	crimson bottlebrush
Caloncoba echinata	caloncoba
Calophyllum antillanum	Antilles calophyllum
Calophyllum inophyllum	Alexandrian laurel
Calopogonium caeruleum	jicama
Calopogonium mucunoides	calopo
Calotropis procera	roostertree
Calycophyllum candidissimum	degame
Calyptranthes acevedoi	Puerto Rico mountainbay
Calyptranthes estremenae	Las Cuevas mountainbay
Calyptranthes krugii	limoncillo
Calyptranthes luquillensis	Luquillo forest lidflower
Calyptranthes martorellii	Martorell's lidflower
Calyptranthes pallens	pale lidflower
Calyptranthes peduncularis	Maricao lidflower
Calyptranthes portoricensis	Puerto Rico lidflower
Calyptranthes sintenisii	limoncillo de monte
Calyptranthes thomasiana	Thomas' lidflower
Calyptranthes triflora	threeblossom lidflower
Calyptranthes woodburyi	Woodbury's lidflower
Calyptranthes zuzygium	myrtle of the river
Calyptronoma rivalis	Puerto Rico manac
Campylocentrum fasciolum	arboreal bentspur orchid
Campylocentrum filiforme	needleroot bentspur orchid
Campylocentrum micranthum	fairy bentspur orchid
Campylocentrum pachyrrhizum	leafless bentspur orchid
Campylocentrum pygmaeum	pygmy bentspur orchid
Campyloneurum angustifolium	narrow strapfern
Campyloneurum costatum	tailed strapfern
Campyloneurum latum	birdwing fern
Campyloneurum phyllitidis	long strapfern
Campyloneurum repens	creeping strapfern
Cananga odorata	ilang-ilang
Canavalia ensiformis	jack bean
Canavalia nitida	Bahama baybean
Canavalia rosea	baybean
Canella winterana	wild cinnamon
Cannabis sativa	marijuana
Canna glauca	maraca amarilla
Canna indica	Indian shot
Canna jaegeriana	Caribbean canna
Canna pertusa	maraca montuna
Canna sylvestris	maraca roja
Caperonia palustris	sacatrapo
Capparis amplissima	burro blanco
Capparis baducca	caper
Capparis cynophallophora	Jamaican caper
Capparis flexuosa	falseteeth
Capparis hastata	broadleaf caper
Capparis indica	linguam
Capraria biflora	goatweed
Capsicum annuum	cayenne pepper
Cardamine flexuosa	woodland bittercress
Cardiospermum corindum	faux persil
Cardiospermum halicacabum	balloon vine
Cardiospermum microcarpum	heartseed
Carex longii	Long's sedge
Carex polystachya	Caribbean sedge
Carica papaya	papaya
Carissa macrocarpa	amatungulu
Carludovica palmata	Panama hat plant
Casearia aculeata	rabo de ranton
Casearia arborea	gia verde
Casearia decandra	wild honeytree
Casearia guianensis	Guyanese wild coffee
Casearia sylvestris	crackopen
Cassia fistula	golden shower
Cassia grandis	pink shower
Cassia javanica	apple blossom
Cassine xylocarpa	marbletree
Cassipourea guianensis	goatwood
Cassytha filiformis	devil's gut
Castela erecta	goatbush
Castilla elastica	Panama rubbertree
Casuarina cunninghamiana	river sheoak
Casuarina equisetifolia	beach sheoak
Casuarina lepidophloia	belah
Catalpa longissima	Haitian catalpa
Catesbaea melanocarpa	tropical lilythorn
Catesbaea parviflora	smallflower lilythorn
Catharanthus roseus	Madagascar periwinkle
Catopsis berteroniana	powdery strap airplant
Catopsis floribunda	Florida strap airplant
Catopsis nitida	Caribbean strap airplant
Catopsis nutans	nodding strap airplant
Catopsis sessiliflora	sessileleaf strap airplant
Cayaponia americana	American melonleaf
Cayaponia racemosa	mountain melonleaf
Cecropia schreberiana	pumpwood
Cedrela odorata	Spanish cedar
Ceiba aesculifolia	pochote
Ceiba pentandra	kapoktree
Celosia argentea	silver cock's comb
Celosia nitida	West Indian cock's comb
Celosia virgata	albahaca
Celtis iguanaea	iguana hackberry
Celtis trinervia	almex
Cenchrus brownii	slimbristle sandbur
Cenchrus echinatus	southern sandbur
Cenchrus gracillimus	slender sandbur
Cenchrus myosuroides	big sandbur
Cenchrus spinifex	coastal sandbur
Centella erecta	erect centella
Centratherum punctatum	larkdaisy
Centrosema molle	soft butterfly pea
Centrosema plumieri	feefee
Centrosema pubescens	flor de conchitas
Centrosema virginianum	spurred butterfly pea
Ceratophyllum demersum	coon's tail
Ceratopteris richardii	triangle waterfern
Ceratopteris thalictroides	watersprite
Cereus hexagonus	lady of the night cactus
Cereus hildmannianus	hedge cactus
Cestrum alternifolium	alternateleaf jessamine
Cestrum diurnum	day jessamine
Cestrum laurifolium	galen del monte
Cestrum nocturnum	night jessamine
Cestrum salicifolium	pussywillow jessamine
Chamaecrista diphylla	twoleaf sensitive pea
Chamaecrista glandulosa	Jamaican broom
Chamaecrista lineata	narrowpod sensitive pea
Chamaecrista nictitans	sensitive partridge pea
Chamaecrista portoricensis	Puerto Rico sensitive pea
Chamaecrista rotundifolia	roundleaf sensitive pea
Chamaesyce adenoptera	southern Florida sandmat
Chamaesyce articulata	jointed sandmat
Chamaesyce berteriana	Berteron's sandmat
Chamaesyce blodgettii	limestone sandmat
Chamaesyce cowellii	Cowell's sandmat
Chamaesyce hirta	pillpod sandmat
Chamaesyce hypericifolia	graceful sandmat
Chamaesyce hyssopifolia	hyssopleaf sandmat
Chamaesyce lasiocarpa	roadside sandmat
Chamaesyce mesembrianthemifolia	coastal beach sandmat
Chamaesyce nutans	eyebane
Chamaesyce ophthalmica	Florida hammock sandmat
Chamaesyce orbifolia	Mona Island sandmat
Chamaesyce prostrata	prostrate sandmat
Chamaesyce serpens	matted sandmat
Chamaesyce thymifolia	gulf sandmat
Chamaesyce turpinii	Turpin's sandmat
Chamissoa altissima	false chaff flower
Chaptalia albicans	white sunbonnets
Chaptalia dentata	pineland daisy
Chaptalia nutans	heal and draw
Cheilanthes microphylla	southern lipfern
Cheilanthes paupercula	streambank lipfern
Cheiroglossa palmata	hand fern
Chenopodium murale	nettleleaf goosefoot
Chiococca alba	West Indian milkberry
Chiococca parvifolia	pineland milkberry
Chionanthus axilliflorus	hueso
Chionanthus compactus	bridgotree
Chionanthus domingensis	white rosewood
Chionanthus holdridgei	hueso prieto
Chionanthus ligustrinus	cabra blanca
Chione seminervis	puntaj jayuya
Chione venosa	fatpork
Chloris barbata	swollen fingergrass
Chloris ciliata	fringed windmill grass
Chloris cubensis	Cuban windmill grass
Chloris elata	tall windmill grass
Chloris radiata	radiate fingergrass
